asin,publisher,privacy_policy_url
B081YWV356,Constellation Brands,http://stock-the-bar.s3-website-us-east-1.amazonaws.com/privacy-policy.html
B082347T3L,Starbucks at Home Coffee,https://athome.starbucks.com/privacy-policy/
B07657KZR9,Moet Hennessy USA,https://www.mhusa.com/privacy.asp
B08G4GB7G4,Campari,https://www.camparigroup.com/en/page/privacy
B07MFGLVR3,Handoff Technologies,https://register.handofftech.com/v2/privacy
B07N7DR1WB,Juan Pena,https://www.prolijomezcal.com/privacy
B07CVL1DFB,Ambro Group Inc,https://getstoryline.com/public/privacy.html
B07DNVWZ74,Alexandre Linares,https://alpine.ai/privacy-policy/
B01M4O7VF3,Treycent,https://treycent.com/app/privacy.html
B07GT1WXQ9,Developer,http://www.carlyleoliver.com/apps/alexa/bgs/privacy-policy.html
B072KL1S3G,FluiBex,https://alessiobarducci.altervista.org/indovinailprezzo/privacy-policy.php
B07WGB3Y5N,Regis Corporation,https://www.regiscorp.com/about-regis/legal/privacy-policy.html
B06VTBRYSC,Able Style,https://able.style/#/privacy
B083PY1PGZ,Sport Clips,https://www.sportclips.com/about-us/privacy-policy
B07R7DGK6K,Daygames,https://day-games.com/privacy-policy
B07NYWKWWN,CDR Fundraising Group,http://www.philamuseum.org/webpolicies.html
B07DX3TDHD,Gwynnie Bee,https://closet.gwynniebee.com/pages/privacy-policy
B07VNTVM3X,Tommy Hilfiger,https://usa.tommy.com/en/customerservice/privacy-policy
B07ZMW994H,Garnier,https://www.garnierusa.com/privacy-policy
B07P6JK2RC,Sperry,https://www.sperry.com/en/content?caid=privacy-policy
B075VCGLML,Style Girlfriend LLC,https://stylegirlfriend.com/privacy-policy/
B087YM4KJK,True Reply Inc.,https://voicerewards.me/privacy
B07NDX1ZLQ,Cappen,https://ministryofsupply.com/pages/privacy-policy
B075LLDPTB,Perry Ellis,https://www.perryellis.com/privacy-policy.html
B07MYH64DY,student,https://www.amazon.com/gp/help/customer/display.html?nodeId=468496
B079JS9GL8,Das Jott,https://dasjott.blogspot.de/p/skill.html
B089B4252F,Scott Wabnitz,https://www.smithandnoble.com/privacy-security.html
B07CML6JZ2,Hoelee,https://getstoryline.com/public/privacy.html
B079TYHCYX,General Motors,https://www.onstar.com/content/tcps/us/en/Voice/mychevrolet.html
B077Y1FK9D,Ford Motor Company,https://www.fordpass.com/content/ford_com/fp_app/en_us/global-terms-and-privacy.html
B0762CNW6P,FCA US LLC,https://www.driveuconnect.com/privacy-policy.html
B079TWKN49,General Motors,https://www.onstar.com/content/tcps/us/en/Voice/mygmc.html
B07B9NQ1ZB,"Toyota Motor North America, Inc.",http://www.lexus.com/privacyvts/
B01LWLCMGF,BMW Technology Group,https://btclegaldocumentcheckeu.bmwgroup.com/api/legaldocumentcheck/viewlatestdocument/connected2_pp/bmw/ios/row?locale=US-EN
B01M9H2JCK,Hyundai Motor America,https://alexa.bluelink.hyundaiusa.com/static/bluelink-privacy-policy.html
B07DD2VGFS,FCA,https://www.jeep.com/crossbrand_us/privacy
B079TYL5CZ,General Motors,https://www.onstar.com/content/tcps/us/en/Voice/mycadillac.html
B07B9HN9R5,"Toyota Motor North America, Inc.",https://www.toyota.com/privacyvts/
B079TYTNKJ,General Motors,https://www.onstar.com/content/tcps/us/en/Voice/mybuick.html
B07DD1LS7Z,FCA,https://www.ramtrucks.com/crossbrand_us/privacy
B071Z28K7T,"Firstech, LLC.",https://www.dronemobile.com/legal/privacy-policy
B01JXP09PI,Genesis Motors USA,https://alexa.connectedservices.genesismotorsusa.com/static/genesis-terms.html
B01N9Y4I1E,Nikhil Kapur,https://x1z8egdmi2.execute-api.us-east-1.amazonaws.com/prod/falcon?command=show_privacy_page
B07BQG1SQB,Ford Motor Company,https://www.lincoln.com/lincolnway/en_us/termsprivacy/
B074XBFTP3,Nissan North America,https://www.nissanusa.com/connect/privacy
B07DD1PDDF,FCA,https://www.dodge.com/crossbrand_us/privacy
B076VPHKGM,Kia America,https://va.myuvo.com/static/uvo-privacy-policy.html
B07DD2NSSW,FCA,https://www.chrysler.com/crossbrand_us/privacy
B01N2L9H5J,Ford Motor Company,https://myfordmobile.com/legal/index.html
B07BN318PN,Exultnet LLC,https://www.electraFi.com/privacy.php
B074XGLD4V,Nissan North America,https://www.infinitiusa.com/intouch/privacy
B077VXVF8D,Nissan North America,https://www.nissanusa.com/privacy.html
B075435C1Y,Mercedes-Benz,https://www.me.mercedes-benz.com/passengercars/content-pool/tool-pages/legal/privacy-statement-folder.html
B07LBB3DRS,GasBuddy,https://www.gasbuddy.com/Privacy
B08K882PZB,"American Honda Motor Co., Inc.",https://acuralink.acura.com/#/privacyPolicy
B075TRB4V5,Garmin International,http://www.garmin.com/en-US/legal/privacy-statement
B08K879WHF,"American Honda Motor Co., Inc.",https://hondalink.honda.com/#/privacyPolicy
B0744DQGMD,Tail Light llc,https://www.bouncie.com/privacy-policy/
B01MU8Q80L,Nikhil Kapur,https://x1z8egdmi2.execute-api.us-east-1.amazonaws.com/prod/falcon?command=show_privacy_page
B087CQCFSM,GreyMan Software,https://jlrsharpfrontend.azurewebsites.net/Privacy
B07XYBLMSN,NEXTBASE,https://legal.nextbase.com/en/privacy-policy
B089JMLR9Z,"VOLKSWAGEN of America, Inc.",https://www.vw.com/privacy
B08F2SLKRW,Automobility,https://mycarcontrols.com/terms-of-use/?Brand=carlink
B07B31GLRT,Mitsubishi Motors Corporation,https://www.mitsubishicars.com/cvsprivacy
B01MS2J721,Jones Software,https://beta.teslacockpit.com/About
B06XQX2XJG,Reavelo Ltd,https://www.elonbot.com/home/privacy
B08BR61MBH,GreyMan Software,https://jlrsharpfrontend.azurewebsites.net/Privacy
B076285Z91,"ParkWhiz, Inc.",http://www.parkwhiz.com/support/privacy/
B074WZL414,Nissan North America,https://www.infinitiusa.com/intouch/privacy
B01DL9DP1M,"Zubie, Inc.",http://zubie.com/privacy/
B01K8S453Q,Vinli,https://www.vin.li/privacy
B07TJWXZW9,AAA,https://aihub.national.aaa.com/assets/html/roadserviceAlexaPrivacy.html
B08F2RD4QS,Automobility,https://mycarcontrols.com/terms-of-use/?Brand=mycar
B07MG98QLK,Agnik,https://vyncs.poweredbyagnik.com/documents/VyncsPrivacyPolicy.htm
B078MMH73M,Three Day Rule,https://www.threedayrule.com/privacy
B07PZK2XPG,Webcode Solutions,http://www.webcode.solutions/privacy-policy/
B07CQCPXJ4,Three Day Rule,https://www.threedayrule.com/privacy
B07ZRG51PB,Infinity Labs,https://creator.voiceflow.com/creator/privacy_policy?name=Finn%20Jasele&skill=Should%20I%20Date%20Them
B07P32Q4QC,Voice First Tech,https://voicefirsttech.com/assets/pdf/privacy-policy-valentine.pdf
B085L7SV2B,Positive Web Marketing LLC,http://positivewebmarketing.com
B07DT9G55V,KmK,https://getstoryline.com/public/privacy.html
B07J1QRWCC,Next Level Living,https://docs.google.com/document/d/1M8-gjqSbaagHzCIyg6T5wwkEpRfouY6elqMGuZlD7rQ/edit?usp=sharing
B07KTV7V53,HisSohn,https://getstoryline.com/public/privacy.html
B07SBCTHZH,Lovappy,https://lovappy.com/privacy
B07YCKFCCF,Aaron M Spelling,https://datingrelationship.ga/privacy-policy/
